	sideefects
12729	, foetal exposure during pregnancy, Foetal exposure during pregnancy
12730	, biochemical pregnancy, Biochemical pregnancy
12731	, hysterotomy, Hysterotomy
12732	, motion sickness, Motion sickness
12733	, nutritional condition abnormal, Nutritional condition abnormal
12734	, general physical condition abnormal, General physical condition abnormal
12735	, stress echocardiogram abnormal, Stress echocardiogram abnormal
12736	, medical observation, Medical observation
12737	, specialist consultation, Specialist consultation
12738	, metamyelocyte percentage increased, Metamyelocyte percentage increased
12739	, renin abnormal, Renin abnormal
12740	, pco2 abnormal, PCO2 abnormal
12741	, mammogram, Mammogram
12742	, colposcopy, Colposcopy
12743	, cytology, Cytology
12744	, hand-eye coordination impaired, Hand-eye coordination impaired
12745	, computerised tomogram, Computerised tomogram
12746	, coagulation time abnormal, Coagulation time abnormal
12747	, withdrawal bleed, Withdrawal bleed
12748	, environmental exposure, Environmental exposure
12749	, exposure to toxic agent, Exposure to toxic agent
12750	, exposure to unspecified agent, Exposure to unspecified agent
12751	, exposure via father, Exposure via father
12752	, exposure via ingestion, Exposure via ingestion
12753	, cold exposure injury, Cold exposure injury
12754	, exposure via partner, Exposure via partner
12755	, exposure via body fluid, Exposure via body fluid
12756	, enema administration, Enema administration
12757	, cerumen impaction, Cerumen impaction
12758	, wrong strength, Wrong strength
12759	, weight decrease neonatal, Weight decrease neonatal
12760	, consciousness fluctuating, Consciousness fluctuating
12761	, vessel puncture site pruritus, Vessel puncture site pruritus
12762	, vessel puncture site rash, Vessel puncture site rash
12763	, neonatal aspiration, Neonatal aspiration
12764	, vessel puncture site haemorrhage, Vessel puncture site haemorrhage
12765	, biopsy, Biopsy
12766	, bronchoscopy, Bronchoscopy
12767	, oesophagoscopy, Oesophagoscopy
12768	, proctoscopy, Proctoscopy
12769	, laryngoscopy, Laryngoscopy
12770	, electrocardiogram q waves, Electrocardiogram Q waves
12771	, electrocardiogram t wave inversion, Electrocardiogram T wave inversion
12772	, electrocardiogram repolarisation abnormality, Electrocardiogram repolarisation abnormality
12773	, electrocardiogram change, Electrocardiogram change
12774	, cold sweat, Cold sweat
12775	, maternal condition affecting foetus, Maternal condition affecting foetus
12776	, myocarditis post infection, Myocarditis post infection
12777	, anaesthetic complication neonatal, Anaesthetic complication neonatal
12778	, pressure of speech, Pressure of speech
12779	, post stroke epilepsy, Post stroke epilepsy
12780	, post stroke seizure, Post stroke seizure
12781	, mixed hepatocellular cholangiocarcinoma, Mixed hepatocellular cholangiocarcinoma
12782	, fibromyalgia, Fibromyalgia
12783	, insulinoma, Insulinoma
12784	, exsanguination, Exsanguination
12785	, goniotomy, Goniotomy
12786	, vitrectomy, Vitrectomy
12787	, iridotomy, Iridotomy
12788	, trabeculoplasty, Trabeculoplasty
12789	, keratomileusis, Keratomileusis
12790	, chorioretinopathy, Chorioretinopathy
12791	, blister, Blister
12792	, nodule, Nodule
12793	, viral test, Viral test
12794	, calculus prostatic, Calculus prostatic
12795	, pancreatic steatosis, Pancreatic steatosis
12796	, adenoidectomy, Adenoidectomy
12797	, adenotonsillectomy, Adenotonsillectomy
12798	, fluid intake reduced, Fluid intake reduced
12799	, extubation, Extubation
12800	, wound decomposition, Wound decomposition
12801	, mitochondrial cytopathy, Mitochondrial cytopathy
12802	, mitochondrial encephalomyopathy, Mitochondrial encephalomyopathy
12803	, water intoxication, Water intoxication
12804	, calcium intoxication, Calcium intoxication
12805	, poisoning, Poisoning
12806	, maternal drugs affecting foetus, Maternal drugs affecting foetus
12807	, blood lactic acid abnormal, Blood lactic acid abnormal
12808	, haemoglobinuria, Haemoglobinuria
12809	, nitrite urine, Nitrite urine
12810	, cells in urine, Cells in urine
12811	, crystal urine present, Crystal urine present
12812	, nitrite urine absent, Nitrite urine absent
12813	, urinary lipids present, Urinary lipids present
12814	, barbiturates positive, Barbiturates positive
12815	, crystal urine, Crystal urine
12816	, lymphoblast count increased, Lymphoblast count increased
12817	, bilirubin conjugated abnormal, Bilirubin conjugated abnormal
12818	, bilirubin conjugated, Bilirubin conjugated
12819	, carcinoembryonic antigen, Carcinoembryonic antigen
12820	, drowning, Drowning
12821	, electrocution, Electrocution
12822	, theft, Theft
12823	, married, Married
12824	, divorced, Divorced
12825	, struck by lightning, Struck by lightning
12826	, near drowning, Near drowning
12827	, wrong device used, Wrong device used
12828	, expired device used, Expired device used
12829	, medical device repositioning, Medical device repositioning
12830	, medical device change, Medical device change
12831	, medical device discomfort, Medical device discomfort
12832	, complication associated with device, Complication associated with device
12833	, device defective, Device defective
12834	, embedded device, Embedded device
12835	, injury associated with device, Injury associated with device
12836	, helplessness, Helplessness
12837	, prescribed underdose, Prescribed underdose
12838	, waxy flexibility, Waxy flexibility
12839	, reperfusion arrhythmia, Reperfusion arrhythmia
12840	, sports injury, Sports injury
12841	, limb crushing injury, Limb crushing injury
12842	, venipuncture, Venipuncture
12843	, transfusion, Transfusion
12844	, apparent death, Apparent death
12845	, fumbling, Fumbling
12846	, pharyngeal exudate, Pharyngeal exudate
12847	, tongue geographic, Tongue geographic
12848	, diaphragmatic aplasia, Diaphragmatic aplasia
12849	, h1n1 influenza, H1N1 influenza
12850	, avian influenza, Avian influenza
12851	, influenza, Influenza
12852	, rabies, Rabies
12853	, tetanus, Tetanus
12854	, diphtheria, Diphtheria
12855	, superinfection, Superinfection
12856	, plague, Plague
12857	, immunodeficiency, Immunodeficiency
12858	, impaired gastric emptying, Impaired gastric emptying
12859	, pulmonary air leakage, Pulmonary air leakage
12860	, post procedural haemorrhage, Post procedural haemorrhage
12861	, post procedural swelling, Post procedural swelling
12862	, post procedural pneumonia, Post procedural pneumonia
12863	, post procedural sepsis, Post procedural sepsis
12864	, post procedural contusion, Post procedural contusion
12865	, post procedural discomfort, Post procedural discomfort
12866	, post procedural diarrhoea, Post procedural diarrhoea
12867	, post procedural complication, Post procedural complication
12868	, post procedural stroke, Post procedural stroke
12869	, post procedural haematuria, Post procedural haematuria
12870	, post procedural infection, Post procedural infection
12871	, post procedural urine leak, Post procedural urine leak
12872	, post procedural hypothyroidism, Post procedural hypothyroidism
12873	, repetitive speech, Repetitive speech
12874	, disorganised speech, Disorganised speech
12875	, secondary tic, Secondary tic
12876	, romberg test positive, Romberg test positive
12877	, poor feeding infant, Poor feeding infant
12878	, claustrophobia, Claustrophobia
12879	, overwork, Overwork
12880	, bereavement, Bereavement
12881	, caregiver, Caregiver
12882	, aversion, Aversion
12883	, psychotherapy, Psychotherapy
12884	, endothelial dysfunction, Endothelial dysfunction
12885	, tobacco withdrawal symptoms, Tobacco withdrawal symptoms
12886	, walking aid user, Walking aid user
12887	, conjoined twins, Conjoined twins
12888	, endometritis decidual, Endometritis decidual
12889	, tender joint count, Tender joint count
12890	, soft tissue foreign body, Soft tissue foreign body
12891	, discharge, Discharge
12892	, hospitalisation, Hospitalisation
12893	, birth trauma, Birth trauma
12894	, live birth, Live birth
12895	, birth mark, Birth mark
12896	, psychosocial support, Psychosocial support
12897	, varicella post vaccine, Varicella post vaccine
12898	, patient dissatisfaction with treatment, Patient dissatisfaction with treatment
12899	, patient dissatisfaction with device, Patient dissatisfaction with device
12900	, molluscum contagiosum, Molluscum contagiosum
12901	, postoperative adhesion, Postoperative adhesion
12902	, benign ethnic neutropenia, Benign ethnic neutropenia
12903	, splinter, Splinter
12904	, haemodialysis, Haemodialysis
12905	, plasmapheresis, Plasmapheresis
12906	, immunosuppression, Immunosuppression
12907	, thrombin time, Thrombin time
12908	, motor developmental delay, Motor developmental delay
12909	, epidermolysis, Epidermolysis
12910	, gamma-glutamyltransferase, Gamma-glutamyltransferase
12911	, positive end-expiratory pressure, Positive end-expiratory pressure
12912	, stroke in evolution, Stroke in evolution
12913	, acupuncture, Acupuncture
12914	, massage, Massage
12915	, chiropractic, Chiropractic
12916	, hepatotoxicity, Hepatotoxicity
12917	, status asthmaticus, Status asthmaticus
12918	, adult failure to thrive, Adult failure to thrive
12919	, motor neurone disease, Motor neurone disease
12920	, transposition of the great vessels, Transposition of the great vessels
12921	, vena cava injury, Vena cava injury
12922	, uvular spasm, Uvular spasm
12923	, lithotripsy, Lithotripsy
12924	, dacryocystorhinostomy, Dacryocystorhinostomy
12925	, urethrotomy, Urethrotomy
12926	, cholelithotomy, Cholelithotomy
12927	, tonsillectomy, Tonsillectomy
12928	, haemodynamic instability, Haemodynamic instability
12929	, uvulopalatopharyngoplasty, Uvulopalatopharyngoplasty
12930	, leprosy, Leprosy
12931	, sunburn, Sunburn
12932	, granulocyte percentage, Granulocyte percentage
12933	, page kidney, Page kidney
12934	, ph body fluid abnormal, pH body fluid abnormal
12935	, metastasis, Metastasis
12936	, thought withdrawal, Thought withdrawal
12937	, withdrawal of life support, Withdrawal of life support
12938	, infusion, Infusion
12939	, injection, Injection
12940	, pathogen resistance, Pathogen resistance
12941	, detoxification, Detoxification
12942	, buried penis syndrome, Buried penis syndrome
12943	, alpha-2 macroglobulin increased, Alpha-2 macroglobulin increased
12944	, vitamin b12 abnormal, Vitamin B12 abnormal
12945	, cystatin c abnormal, Cystatin C abnormal
12946	, xanthomatosis, Xanthomatosis
12947	, lipidosis, Lipidosis
12948	, exploratory operation, Exploratory operation
12949	, transgender operation, Transgender operation
12950	, portal hypertensive gastropathy, Portal hypertensive gastropathy
12951	, retinoblastoma, Retinoblastoma
12952	, dissociation, Dissociation
12953	, bundle branch block bilateral, Bundle branch block bilateral
12954	, foetal hypokinesia, Foetal hypokinesia
12955	, pertussis, Pertussis
12956	, hidradenitis, Hidradenitis
12957	, nail bed infection, Nail bed infection
12958	, infection susceptibility increased, Infection susceptibility increased
12959	, constricted affect, Constricted affect
12960	, retained placenta or membranes, Retained placenta or membranes
12961	, cushingoid, Cushingoid
12962	, lipoatrophy, Lipoatrophy
12963	, lipohypertrophy, Lipohypertrophy
12964	, excessive cerumen production, Excessive cerumen production
12965	, lymphangiosis carcinomatosa, Lymphangiosis carcinomatosa
12966	, cystoscopy, Cystoscopy
12967	, urethroscopy, Urethroscopy
12968	, oesophagogastroduodenoscopy, Oesophagogastroduodenoscopy
12969	, infant, Infant
12970	, amniorrhoea, Amniorrhoea
12971	, cephalo-pelvic disproportion, Cephalo-pelvic disproportion
12972	, blood cannabinoids, Blood cannabinoids
12973	, bite, Bite
12974	, nutritional supplementation, Nutritional supplementation
12975	, Hypervitaminosis, Hypervitaminosis D, hypervitaminosis a, hypervitaminosis, hypervitaminosis d
12976	, gliosarcoma, Gliosarcoma
12977	, pseudomyxoma peritonei, Pseudomyxoma peritonei
12978	, small size placenta, Small size placenta
12979	, steatohepatitis, Steatohepatitis
12980	, haemophilia, Haemophilia
12981	, cat scratch disease, Cat scratch disease
12982	, segmental diverticular colitis, Segmental diverticular colitis
12983	, mastocytoma, Mastocytoma
12984	, linear iga disease, Linear IgA disease
12985	, anthrax, Anthrax
12986	, malaria, Malaria
12987	, human bite, Human bite
12988	, pneumatosis, Pneumatosis
12989	, carcinogenicity, Carcinogenicity
12990	, genotoxicity, Genotoxicity
12991	, scab, Scab
12992	, cardiotoxicity, Cardiotoxicity
12993	, haematotoxicity, Haematotoxicity
12994	, ototoxicity, Ototoxicity
12995	, inhibiting antibodies, Inhibiting antibodies
12996	, nucleated red cells, Nucleated red cells
12997	, aqueous humour leakage, Aqueous humour leakage
12998	, fibrin, Fibrin
12999	, psoas sign, Psoas sign
13000	, prostatic specific antigen, Prostatic specific antigen
13001	, inferiority complex, Inferiority complex
13002	, transaminases, Transaminases
13003	, carbohydrate antigen 125, Carbohydrate antigen 125
13004	, transferrin saturation, Transferrin saturation
13005	, botulinum toxin injection, Botulinum toxin injection
13006	, tanning, Tanning
13007	, suture insertion, Suture insertion
13008	, thought insertion, Thought insertion
13009	, electrocardiogram r on t phenomenon, Electrocardiogram R on T phenomenon
13010	, recall phenomenon, Recall phenomenon
13011	, dawn phenomenon, Dawn phenomenon
13012	, freezing phenomenon, Freezing phenomenon
13013	, Up and down phenomenon, On and off phenomenon, on and off phenomenon, up and down phenomenon
13014	, weight, Weight
13015	, allergy to surgical sutures, Allergy to surgical sutures
13016	, mammoplasty, Mammoplasty
13017	, proctocolectomy, Proctocolectomy
13018	, scratch, Scratch
13019	, neuroma, Neuroma
13020	, pocket erosion, Pocket erosion
13021	, sacralisation, Sacralisation
13022	, manipulation, Manipulation
13023	, wandering pacemaker, Wandering pacemaker
13024	, combined immunodeficiency, Combined immunodeficiency
13025	, decidual cast, Decidual cast
13026	, urinary control neurostimulator implantation, Urinary control neurostimulator implantation
13027	, tympanometry, Tympanometry
13028	, intestinal adhesion lysis, Intestinal adhesion lysis
13029	, cholelithiasis migration, Cholelithiasis migration
13030	, caput succedaneum, Caput succedaneum
13031	, acid fast bacilli infection, Acid fast bacilli infection
13032	, cardioversion, Cardioversion
13033	, gun shot wound, Gun shot wound
13034	, premature separation of placenta, Premature separation of placenta
13035	, lack of spontaneous speech, Lack of spontaneous speech
13036	, pulse absent, Pulse absent
13037	, blunted affect, Blunted affect
13038	, voluntary redundancy, Voluntary redundancy
13039	, tension, Tension
13040	, thought broadcasting, Thought broadcasting
13041	, in vitro fertilisation, In vitro fertilisation
13042	, parenteral nutrition, Parenteral nutrition
13043	, enteral nutrition, Enteral nutrition
13044	, palindromic rheumatism, Palindromic rheumatism
13045	, myeloma cast nephropathy, Myeloma cast nephropathy
13046	, out of specification test results, Out of specification test results
